PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-17,12:59:49.08,1,1,"Vardavas, Nick",1000241952,Left,MIA_RED,"Webb, Bryson",10096965,Right,CEN_MIC,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.08367,-1.833431,2.973694,2038.359756,111.108186,9:45,5.26598,-1.77418,5.50297,-28.99305,9.2913,-20.92678,1.13228,-0.73442,78.98474,-7.171075,-0.754945,0.44533,,,,,,,,,,,,11.39827,5.55697,1.5289,50,5.08617,-5.59711,-124.84627,-5.01143,18.01194,24.84672,-23.39273,MIA_RED,CEN_MIC,McKieFieldStad,D1,MAC,20240317-McKieFieldStad-1,c421e800-e47f-11ee-aea4-b7dfdbffd9f3,84.63934,,,7.09894,,,,,,,b24ae197-db0c-49a0-b090-a6c9874b4f44,2024-03-17,16:59:49.08,2024-03-17T12:59:49.0861932-04:00,2024-03-17T16:59:49.0861932Z,,v3,471355,471268,17 March 2024 13:00-cmichigan@miamioh,"Novak, David",1000076952,Right,MIA_RED,2d07719b-ee1b-4118-888f-fc743ef7b350,54.99632,-125.8367,12.42336,5.26735,-4.07895,-11.69637,1.76632,-6.3151,9.00597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-17,13:00:05.42,1,2,"Vardavas, Nick",1000241952,Left,MIA_RED,"Webb, Bryson",10096965,Right,CEN_MIC,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.41529,-2.40018,4.602434,2034.525283,115.955974,9:45,5.28612,-1.71781,5.7751,-26.8658,11.34103,-20.4745,0.8054,0.86779,78.28602,-7.409074,0.946193,0.444879,,,,,,,,,,,,11.95733,6.91764,1.34995,50,5.07111,-9.22112,-124.95415,-6.12697,18.6858,27.90262,-21.36381,MIA_RED,CEN_MIC,McKieFieldStad,D1,MAC,20240317-McKieFieldStad-1,cdd67eb0-e47f-11ee-aea4-b7dfdbffd9f3,84.72515,,,8.12927,,,,,,,b24ae197-db0c-49a0-b090-a6c9874b4f44,2024-03-17,17:00:05.42,2024-03-17T13:00:05.4210412-04:00,2024-03-17T17:00:05.4210412Z,,v3,471355,471268,17 March 2024 13:00-cmichigan@miamioh,"Novak, David",1000076952,Right,MIA_RED,c13d6a0b-c457-4675-b116-ce3111e6d294,54.72353,-126.00452,13.95131,5.28662,-5.32276,-10.68191,1.71031,-9.92452,9.3429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-17,13:00:26.61,1,3,"Vardavas, Nick",1000241952,Left,MIA_RED,"Webb, Bryson",10096965,Right,CEN_MIC,Undefined,1,Top,0,2,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.21419,0.424159,3.524788,2115.728619,111.275312,9:45,5.31966,-1.72397,5.88715,-31.35659,8.80874,-18.78501,3.10121,-0.01232,75.64024,-5.449182,0.159747,0.456139,,,,,,,,,,,,10.70662,4.80488,1.45007,50,5.33618,-6.73547,-121.93199,-0.09751,15.82858,27.99894,-25.07053,MIA_RED,CEN_MIC,McKieFieldStad,D1,MAC,20240317-McKieFieldStad-1,daa797a0-e47f-11ee-aea4-b7dfdbffd9f3,82.6337,,,8.57394,,,,,,,b24ae197-db0c-49a0-b090-a6c9874b4f44,2024-03-17,17:00:26.61,2024-03-17T13:00:26.6150764-04:00,2024-03-17T17:00:26.6150764Z,,v3,471355,471268,17 March 2024 13:00-cmichigan@miamioh,"Novak, David",1000076952,Right,MIA_RED,016afdc4-d134-4213-990b-f2ab1096fc94,54.60813,-122.98559,13.99947,5.3221,0.8459,-12.53527,1.71473,-7.3311,7.91429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-17,13:00:49.65,1,4,"Vardavas, Nick",1000241952,Left,MIA_RED,"Webb, Bryson",10096965,Right,CEN_MIC,Undefined,1,Top,0,2,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.52455,-0.368029,4.096307,1985.792232,111.476616,9:45,5.31878,-1.6771,5.78221,-30.58104,9.10371,-18.93639,2.42707,0.56249,75.84287,-6.112714,0.712965,0.453402,,,,,,,,,,,,11.03319,5.25551,1.34982,50,5.27057,-8.02209,-123.52475,-1.7974,16.5139,31.77073,-24.30785,MIA_RED,CEN_MIC,McKieFieldStad,D1,MAC,20240317-McKieFieldStad-1,e86337a0-e47f-11ee-aea4-b7dfdbffd9f3,83.13254,,,9.68168,,,,,,,b24ae197-db0c-49a0-b090-a6c9874b4f44,2024-03-17,17:00:49.65,2024-03-17T13:00:49.6512876-04:00,2024-03-17T17:00:49.6512876Z,,v3,471355,471268,17 March 2024 13:00-cmichigan@miamioh,"Novak, David",1000076952,Right,MIA_RED,7bf3bb18-512f-4f45-9f4a-d8a352bed56c,54.70977,-124.73023,15.88536,5.32127,-0.87509,-12.15392,1.66609,-8.64867,8.25695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-17,13:01:06.90,1,5,"Vardavas, Nick",1000241952,Left,MIA_RED,"Webb, Bryson",10096965,Right,CEN_MIC,Undefined,1,Top,0,2,2,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.1529,0.365662,2.785154,2332.115145,146.046028,10:45,5.06305,-1.9161,5.16128,-38.71368,6.79713,-3.45201,2.18149,0.41972,72.27018,-6.744947,2.174747,0.485544,,,,,,,,,,,,2.64185,3.72087,1.65891,50,5.06792,-5.49932,-115.98325,-0.59379,3.53649,25.18605,-27.19311,MIA_RED,CEN_MIC,McKieFieldStad,D1,MAC,20240317-McKieFieldStad-1,f2a42fd0-e47f-11ee-aea4-b7dfdbffd9f3,77.62927,,,7.88272,,,,,,,b24ae197-db0c-49a0-b090-a6c9874b4f44,2024-03-17,17:01:06.90,2024-03-17T13:01:06.9024108-04:00,2024-03-17T17:01:06.9024108Z,,v3,471355,471268,17 March 2024 13:00-cmichigan@miamioh,"Novak, David",1000076952,Right,MIA_RED,2e3f05aa-e8c0-444e-b7a4-ed31a83f2b4c,55.33434,-117.13588,12.59303,5.06662,0.6507,-13.59656,1.91429,-5.66116,1.76824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-17,13:01:27.24,1,6,"Vardavas, Nick",1000241952,Left,MIA_RED,"Webb, Bryson",10096965,Right,CEN_MIC,Undefined,1,Top,0,2,2,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,85.67159,0.097408,3.114588,2140.73963,109.542096,9:45,5.28259,-1.75038,5.66956,-30.67891,8.87245,-20.4597,2.81697,-0.54863,76.12892,-5.652791,-0.53878,0.452639,84.10705,46.701594,25.816526,,90.71749,94.24925,62.21136,292.05707,169.99353,40.085343,5.334378,11.49205,4.91252,1.50038,50,5.27197,-5.86316,-123.90898,-0.81185,17.33124,31.66889,-24.76548,MIA_RED,CEN_MIC,McKieFieldStad,D1,MAC,20240317-McKieFieldStad-1,feb61770-e47f-11ee-aea4-b7dfdbffd9f3,83.27258,105.55193,,9.54267,,,,1.12282,2.77308,0.52469,b24ae197-db0c-49a0-b090-a6c9874b4f44,2024-03-17,17:01:27.24,2024-03-17T13:01:27.2476524-04:00,2024-03-17T17:01:27.2476524Z,FlyBall,v3,471355,471268,17 March 2024 13:00-cmichigan@miamioh,"Novak, David",1000076952,Right,MIA_RED,8f232dc1-8abd-4485-9072-a55a11e28120,54.82489,-125.13606,15.83445,5.28484,0.14774,-12.38274,1.74057,-6.53469,8.66562,216.407711,1.10613,76.43631,-20.99237,7.287,-2.08445,0.39997,-0.0355,-7E-05,0.00014,2.75799,90.10487,-24.88404,4.36116,-2.07046,0.7967,-0.17407,0.01936,-0.00087,0.52799,36.79852,2.37661,-1.69425,0.46313,-0.03699,-0.01198,0.00299,-0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2024-03-17,13:02:02.16,2,1,"Vardavas, Nick",1000241952,Left,MIA_RED,"Donahue, Jacob",1000099820,Right,CEN_MIC,Undefined,1,Top,1,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,85.52229,0.008809,3.660513,2110.789315,122.986054,10:00,5.28703,-1.68978,5.83033,-25.92332,12.6589,-17.5017,3.13496,0.25897,77.64485,-4.851687,0.530158,0.447059,81.70846,5.361682,23.94625,3566.519832,,,,96.37247,94.36101,28.00759,0.893398,10.02831,6.84095,1.4012,50,5.27256,-7.21471,-123.96107,-0.79846,15.512,26.14607,-21.59232,MIA_RED,CEN_MIC,McKieFieldStad,D1,MAC,20240317-McKieFieldStad-1,1399d6e0-e480-11ee-aea4-b7dfdbffd9f3,84.31197,4.81009,,7.87744,,,,0.07606,2.95447,-0.27361,b24ae197-db0c-49a0-b090-a6c9874b4f44,2024-03-17,17:02:02.16,2024-03-17T13:02:02.1699948-04:00,2024-03-17T17:02:02.1699948Z,GroundBall,v3,471355,471268,17 March 2024 13:00-cmichigan@miamioh,"Novak, David",1000076952,Right,MIA_RED,33247de8-02c4-41b3-a11f-2a7dc81d65ef,54.66734,-124.94164,13.07304,5.28732,0.01132,-10.79616,1.68268,-7.79646,7.756,267.407965,0.14279,108.0286,-14.57172,,,,,,,2.99013,10.65837,-15.71818,,,,,,,-0.31405,49.05036,2.23531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-03-17,13:02:35.71,3,1,"Vardavas, Nick",1000241952,Left,MIA_RED,"Wuestenfeld, Danny",1000061943,Right,CEN_MIC,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.71628,-1.199748,4.78338,2163.037232,103.938131,9:30,5.2161,-1.8533,5.88653,-32.09088,6.77075,-21.4182,1.42377,0.81384,77.18921,-7.175642,0.951588,0.448675,,,,,,,,,,,,12.51552,4.27709,1.47916,50,5.10076,-9.48651,-123.93312,-3.662,19.12652,28.79192,-25.63769,MIA_RED,CEN_MIC,McKieFieldStad,D1,MAC,20240317-McKieFieldStad-1,278fb3e0-e480-11ee-aea4-b7dfdbffd9f3,84.00829,,,8.52707,,,,,,,b24ae197-db0c-49a0-b090-a6c9874b4f44,2024-03-17,17:02:35.71,2024-03-17T13:02:35.7158764-04:00,2024-03-17T17:02:35.7158764Z,,v3,471355,471268,17 March 2024 13:00-cmichigan@miamioh,"Novak, David",1000076952,Right,MIA_RED,c7f544c9-bd0a-4d93-b520-2a59d479392d,54.61053,-124.99964,14.39596,5.21882,-2.71232,-12.81885,1.84368,-10.195,9.56326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-17,13:03:10.74,3,2,"Vardavas, Nick",1000241952,Left,MIA_RED,"Wuestenfeld, Danny",1000061943,Right,CEN_MIC,Undefined,1,Top,1,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.93326,1.971667,1.652595,2271.637979,207.330553,1:00,5.14843,-2.02115,5.33356,-40.76238,4.04299,1.35083,3.60289,-0.35767,72.91944,-5.501807,1.892308,0.481766,,,,,,,,,,,,-0.20409,1.92209,1.87093,50,5.29748,-3.39926,-115.89209,2.58818,-0.27702,22.07368,-29.5653,MIA_RED,CEN_MIC,McKieFieldStad,D1,MAC,20240317-McKieFieldStad-1,3c4a8e90-e480-11ee-aea4-b7dfdbffd9f3,78.23799,,,7.01383,,,,,,,b24ae197-db0c-49a0-b090-a6c9874b4f44,2024-03-17,17:03:10.74,2024-03-17T13:03:10.7407212-04:00,2024-03-17T17:03:10.7407212Z,,v3,471355,471268,17 March 2024 13:00-cmichigan@miamioh,"Novak, David",1000076952,Right,MIA_RED,942499a5-01f0-415d-832d-f7a95dd5b73f,55.16261,-116.87126,11.03684,5.15359,3.89968,-14.78265,2.02145,-3.38697,-0.13851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-17,13:03:26.93,3,3,"Vardavas, Nick",1000241952,Left,MIA_RED,"Wuestenfeld, Danny",1000061943,Right,CEN_MIC,Undefined,1,Top,1,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.69552,0.175356,2.216019,2043.189598,111.524539,9:45,5.19799,-2.00955,5.70372,-29.46659,9.19453,-19.94088,2.90595,-1.60549,77.65421,-5.313485,-1.34988,0.447516,,,,,,,,,,,,10.70827,5.02736,1.83585,50,5.19469,-3.95205,-124.2858,-0.60747,16.5931,27.08134,-24.38384,MIA_RED,CEN_MIC,McKieFieldStad,D1,MAC,20240317-McKieFieldStad-1,460a96f0-e480-11ee-aea4-b7dfdbffd9f3,84.22591,,,8.0413,,,,,,,b24ae197-db0c-49a0-b090-a6c9874b4f44,2024-03-17,17:03:26.93,2024-03-17T13:03:26.9346668-04:00,2024-03-17T17:03:26.9346668Z,,v3,471355,471268,17 March 2024 13:00-cmichigan@miamioh,"Novak, David",1000076952,Right,MIA_RED,772f4266-9678-42ff-806d-6d8e24e7e61c,54.79225,-125.32566,13.54067,5.20003,0.32881,-12.19192,1.99983,-4.58918,8.29655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
