"Pitcher","TaggedPitchType","PitchNo","Date","Time","PAofInning","PitchofPA","PitcherId","PitcherThrows","PitcherTeam","Batter","BatterId","BatterSide","BatterTeam","PitcherSet","Inning","Top/Bottom","Outs","Balls","Strikes","AutoPitchType","PitchCall","KorBB","TaggedHitType","PlayResult","OutsOnPlay","RunsScored","Notes","RelSpeed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","Tilt","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","HomeTeam","AwayTeam","Stadium","Level","League","GameID","PitchUID","EffectiveVelo","MaxHeight","MeasuredDuration","SpeedDrop","PitchLastMeasuredX","PitchLastMeasuredY","PitchLastMeasuredZ","ContactPositionX","ContactPositionY","ContactPositionZ","GameUID","UTCDate","UTCTime","LocalDateTime","UTCDateTime","AutoHitType","System","HomeTeamForeignID","AwayTeamForeignID","GameForeignID","Catcher","CatcherId","CatcherThrows","CatcherTeam","PlayID","PitchTrajectoryXc0","PitchTrajectoryXc1","PitchTrajectoryXc2","PitchTrajectoryYc0","PitchTrajectoryYc1","PitchTrajectoryYc2","PitchTrajectoryZc0","PitchTrajectoryZc1","PitchTrajectoryZc2","HitSpinAxis","HitTrajectoryXc0","HitTrajectoryXc1","HitTrajectoryXc2","HitTrajectoryXc3","HitTrajectoryXc4","HitTrajectoryXc5","HitTrajectoryXc6","HitTrajectoryXc7","HitTrajectoryXc8","HitTrajectoryYc0","HitTrajectoryYc1","HitTrajectoryYc2","HitTrajectoryYc3","HitTrajectoryYc4","HitTrajectoryYc5","HitTrajectoryYc6","HitTrajectoryYc7","HitTrajectoryYc8","HitTrajectoryZc0","HitTrajectoryZc1","HitTrajectoryZc2","HitTrajectoryZc3","HitTrajectoryZc4","HitTrajectoryZc5","HitTrajectoryZc6","HitTrajectoryZc7","HitTrajectoryZc8","ThrowSpeed","PopTime","ExchangeTime","TimeToBase","CatchPositionX","CatchPositionY","CatchPositionZ","ThrowPositionX","ThrowPositionY","ThrowPositionZ","BasePositionX","BasePositionY","BasePositionZ","ThrowTrajectoryXc0","ThrowTrajectoryXc1","ThrowTrajectoryXc2","ThrowTrajectoryYc0","ThrowTrajectoryYc1","ThrowTrajectoryYc2","ThrowTrajectoryZc0","ThrowTrajectoryZc1","ThrowTrajectoryZc2","PitchReleaseConfidence","PitchLocationConfidence","PitchMovementConfidence","HitLaunchConfidence","HitLandingConfidence","CatcherThrowCatchConfidence","CatcherThrowReleaseConfidence","CatcherThrowLocationConfidence","Counts","Barrel","HardHit","secTilt","AveTilt"
"Ahmad Harajli","Fastball",20,2024-10-16,15:39:26,1,5,800677,"Right","MIA_RED","Krupinski, Dom","702597","Left","MIA_RED","Undefined",1,"Bottom",1,2,2,"Four-Seam","InPlay","Undefined","FlyBall","Out",1,0,NA,93.93534,-2.354605,-2.205114,2065.110436,201.724753,12:45:00,5.78172,1.50325,6.86234,-12.15879,18.78521,7.04146,2.6194,0.07903,84.74999,-4.76358,-0.919104,0.400368,88.01649,41.40713,-27.161271,NA,NA,NA,NA,NA,130.45004,NA,NA,-4.45693,11.06819,-1.36516,50,5.62692,4.9757,-136.33838,-5.85714,-8.26181,34.21755,-11.65702,"MIA_RED","MIA_RED","McKieFieldStad","TeamExclusive","Team","20241016-McKieFieldStad-Private-1","5a8d2570-8bf6-11ef-a3ea-2f348c5e2a0f",94.14443,87.97544,NA,9.18535,NA,NA,NA,1.14302,2.55254,-0.03679,"591cbe37-8c65-40e2-81c3-b81ee577d06d",2024-10-16,19:39:26,2024-10-16 19:39:26.145,2024-10-16 19:39:26.145,NA,"v3",471355,471355,NA,"Raether, Carson","1000338521","Right","MIA_RED","7d921408-f8d1-4fa4-be16-c30e88767f55",53.6342,-137.24745,17.10878,5.77841,-5.54744,-5.82851,-1.50027,5.19519,-4.13091,142.50558,1.14302,86.14465,-22.93896,5.13506,-1.23394,0.28307,-0.06083,0.00964,-0.00077,2.55254,85.3812,-25.80543,3.42686,-0.7969,0.18137,-0.03732,0.006,-5e-04,-0.03679,-44.1988,1.78193,0.61543,-0.29063,0.09258,-0.02227,0.00382,-0.00032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","Low",NA,NA,NA,"2-2",FALSE,FALSE,4703.77358490566,NA
"Ahmad Harajli","Fastball",22,2024-09-20,15:12:46,3,1,800677,"Right","MIA_RED","Appelwick, Evan","695485","Right","MIA_RED","Undefined",1,"Bottom",1,0,0,"Sinker","FoulBallNotFieldable","Undefined","Undefined","Undefined",0,0,NA,87.5872,-0.815714,-2.008488,2075.902397,231.336718,01:45:00,5.6373,1.55596,6.22449,-21.17816,15.18694,17.37851,3.11932,1.15026,79.16372,-4.854822,1.129485,0.434024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.63079,8.50032,-1.41413,50,5.56579,3.7594,-127.11975,-2.41192,-15.55621,29.19104,-18.44384,"MIA_RED","MIA_RED","McKieFieldStad","TeamExclusive","Team","20240920-McKieFieldStad-Private-1","5283c310-7784-11ef-974c-1fff098cee3e",86.84411,NA,NA,8.42349,NA,NA,NA,NA,NA,NA,"373d7942-ba83-467c-9c29-7ab426023032",2024-09-20,19:12:46,2024-09-20 19:12:46.829938,2024-09-20 19:12:46.829938,NA,"v3",471355,471355,NA,"Novak, David","1000076952","Right","MIA_RED","62e60481-a123-425c-8a66-ffb82f3e5e43",54.27214,-128.09703,14.59552,5.6362,-1.79445,-9.22192,-1.54871,4.2802,-7.77811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"0-0",FALSE,NA,4703.77358490566,NA
"Ahmad Harajli","Fastball",17,2024-10-16,15:38:24,1,2,800677,"Right","MIA_RED","Krupinski, Dom","702597","Left","MIA_RED","Undefined",1,"Bottom",0,1,0,"Four-Seam","StrikeCalled","Undefined","Undefined","Undefined",1,0,NA,92.6202,-2.587064,-2.675354,2069.126884,222.000493,01:30:00,5.66477,1.92958,6.80729,-16.93678,14.49017,12.1665,1.88853,0.50046,84.9587,-5.831786,-0.4553,0.403481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.17359,8.68977,-1.76067,50,5.49081,5.82069,-134.54056,-6.52574,-13.17554,28.63177,-16.21381,"MIA_RED","MIA_RED","McKieFieldStad","TeamExclusive","Team","20241016-McKieFieldStad-Private-1","35ee9aa0-8bf6-11ef-a3ea-2f348c5e2a0f",93.41823,NA,NA,7.6615,NA,NA,NA,NA,NA,NA,"591cbe37-8c65-40e2-81c3-b81ee577d06d",2024-10-16,19:38:24,2024-10-16 19:38:24.838,2024-10-16 19:38:24.838,NA,"v3",471355,471355,NA,"Raether, Carson","1000338521","Right","MIA_RED","ec9f7802-a675-4824-92f1-743e121dfb28",53.69102,-135.32377,14.31588,5.66325,-6.08221,-8.1069,-1.92482,6.1811,-6.58777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63271,2.108506,0.827085,1.281421,-0.67095,1.67254,-0.48549,-0.91083,5.94148,-0.24368,127.27808,3.20991,1.8785,-0.6585,113.53107,-10.67319,5.97528,12.87471,-11.72841,-0.38212,-3.33693,3.97506,"High","High","High",NA,NA,"High","High","High","1-0",FALSE,NA,4703.77358490566,NA
"Ahmad Harajli","Fastball",25,2024-09-20,15:14:45,4,2,800677,"Right","MIA_RED","Harrison, Tommy","811731","Left","MIA_RED","Undefined",1,"Bottom",1,1,0,"Sinker","InPlay","Undefined","GroundBall","Single",0,0,NA,91.69693,-2.328531,-2.401601,2258.187129,226.282563,01:30:00,5.44999,1.5309,6.53296,-19.74068,13.19363,12.54784,1.66598,0.37233,82.77386,-6.103275,-0.122765,0.413044,96.51417,-6.162166,8.135498,NA,NA,NA,NA,16.32469,16.32469,5.537963,0.097241,-7.39615,8.03048,-1.3694,50,5.27979,5.08135,-133.00126,-5.96933,-13.03256,32.85678,-18.02375,"MIA_RED","MIA_RED","McKieFieldStad","TeamExclusive","Team","20240920-McKieFieldStad-Private-1","99840810-7784-11ef-974c-1fff098cee3e",91.25537,1.66345,NA,8.92307,NA,NA,NA,2.89392,1.66345,-0.37119,"373d7942-ba83-467c-9c29-7ab426023032",2024-09-20,19:14:45,2024-09-20 19:14:45.977611,2024-09-20 19:14:45.977611,"GroundBall","v3",471355,471355,NA,"Novak, David","1000076952","Right","MIA_RED","3bca828e-b93f-4911-b060-ee7f5e3b9960",53.96416,-133.97699,16.42839,5.44911,-5.43409,-9.01188,-1.52605,5.46837,-6.51628,326.306358,2.89405,139.30286,-20.26011,NA,NA,NA,NA,NA,NA,1.66356,-15.20972,-19.52958,NA,NA,NA,NA,NA,NA,-0.37122,19.91953,1.02318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","High",NA,NA,NA,"1-0",FALSE,TRUE,4703.77358490566,NA
"Ahmad Harajli","Fastball",16,2024-10-16,15:38:07,1,1,800677,"Right","MIA_RED","Krupinski, Dom","702597","Left","MIA_RED","Undefined",1,"Bottom",0,0,0,"Four-Seam","BallCalled","Undefined","Undefined","Undefined",0,0,NA,92.56465,-0.397995,-2.514934,2051.067046,220.582833,01:15:00,5.71179,1.92532,6.65075,-17.75647,14.07367,11.15607,3.86747,0.5518,84.10734,-3.812026,-0.485957,0.406061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.56485,7.83048,-1.75973,50,5.67748,5.45178,-134.4561,-1.41057,-11.95213,30.64167,-17.91775,"MIA_RED","MIA_RED","McKieFieldStad","TeamExclusive","Team","20241016-McKieFieldStad-Private-1","2b7ef150-8bf6-11ef-a3ea-2f348c5e2a0f",92.82468,NA,NA,8.45731,NA,NA,NA,NA,NA,NA,"591cbe37-8c65-40e2-81c3-b81ee577d06d",2024-10-16,19:38:07,2024-10-16 19:38:07.261,2024-10-16 19:38:07.261,NA,"v3",471355,471355,NA,"Raether, Carson","1000338521","Right","MIA_RED","4319533e-803f-4fc0-9a36-62b16cd0ec80",53.84514,-135.32955,15.32083,5.71041,-0.89982,-8.95887,-1.91999,5.79247,-5.97606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"0-0",FALSE,NA,4703.77358490566,NA
"Ahmad Harajli","Fastball",31,2024-09-20,15:17:31,6,1,800677,"Right","MIA_RED","Proctor, Keenan","823047","Left","MIA_RED","Undefined",1,"Bottom",2,0,0,"Four-Seam","StrikeCalled","Undefined","Undefined","Undefined",0,0,NA,91.15661,-1.438827,-1.2409,2142.508941,213.091082,01:00:00,5.70116,1.69425,6.46088,-18.64328,14.36867,8.65741,2.82536,1.27572,83.04645,-4.998331,0.329967,0.41353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.86323,8.25363,-1.61006,50,5.59105,2.51611,-132.43628,-3.84828,-8.59774,29.49262,-17.58234,"MIA_RED","MIA_RED","McKieFieldStad","TeamExclusive","Team","20240920-McKieFieldStad-Private-1","fc3b2e20-7784-11ef-974c-1fff098cee3e",91.148,NA,NA,8.11016,NA,NA,NA,NA,NA,NA,"373d7942-ba83-467c-9c29-7ab426023032",2024-09-20,19:17:31,2024-09-20 19:17:31.744933,2024-09-20 19:17:31.744933,NA,"v3",471355,471355,NA,"Novak, David","1000076952","Right","MIA_RED","b74e4a20-eb34-4540-babd-2d758d8fe692",54.03516,-133.33185,14.74631,5.6998,-3.31438,-8.79117,-1.69042,2.77719,-4.29887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"0-0",FALSE,NA,4703.77358490566,NA
"Ahmad Harajli","Fastball",19,2024-09-20,15:11:29,2,1,800677,"Right","MIA_RED","Baker, Dillon","1000034148","Right","MIA_RED","Undefined",1,"Bottom",1,0,0,"Four-Seam","FoulBallNotFieldable","Undefined","Undefined","Undefined",0,0,NA,92.6361,-1.491766,-1.447463,2236.499634,222.916292,01:30:00,5.44763,1.42483,6.55617,-18.67592,13.09304,11.22973,2.52281,1.03322,84.61549,-5.05148,0.593893,0.40567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.19024,7.5837,-1.32856,50,5.33651,2.92334,-134.59645,-4.03328,-11.34402,29.49356,-18.2764,"MIA_RED","MIA_RED","McKieFieldStad","TeamExclusive","Team","20240920-McKieFieldStad-Private-1","2418d3d0-7784-11ef-974c-1fff098cee3e",92.91404,NA,NA,8.02062,NA,NA,NA,NA,NA,NA,"373d7942-ba83-467c-9c29-7ab426023032",2024-09-20,19:11:29,2024-09-20 19:11:29.054885,2024-09-20 19:11:29.054885,NA,"v3",471355,471355,NA,"Novak, David","1000076952","Right","MIA_RED","8a7434b7-b3b0-4711-967f-1a95988313f6",53.93815,-135.45665,14.74678,5.44637,-3.50024,-9.1382,-1.41864,3.2542,-5.67201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"0-0",FALSE,NA,4703.77358490566,NA
"Ahmad Harajli","Fastball",225,2024-09-26,16:49:55,4,1,800677,"Right","MIA_RED","Gorski, Justin","1000092396","Left","MIA_RED","Undefined",7,"Bottom",2,0,0,"Sinker","BallCalled","Undefined","Undefined","Undefined",0,0,NA,92.03717,-0.402606,-2.282698,2044.063656,225.804438,01:30:00,5.72342,1.84418,6.49004,-18.94029,13.10304,12.49887,3.77516,0.78908,84.52549,-4.001505,-0.015578,0.407418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.10981,7.25922,-1.68899,50,5.6866,4.82818,-133.82624,-1.48796,-12.96888,27.30586,-18.93263,"MIA_RED","MIA_RED","McKieFieldStad","TeamExclusive","Team","20240926-McKieFieldStad-Private-1","e31af920-7c48-11ef-8ed0-3307dd70d947",92.51536,NA,NA,7.51167,NA,NA,NA,NA,NA,NA,"58732256-dd8d-4be3-93a8-a01e75f36185",2024-09-26,20:49:55,2024-09-26 20:49:55.514153,2024-09-26 20:49:55.514153,NA,"v3",471355,471355,NA,"Novak, David","1000076952","Right","MIA_RED","6bb87ca7-78cd-4ef9-80ee-5d4032376031",54.00782,-134.64151,13.65293,5.72259,-0.92268,-9.46632,-1.83893,5.21539,-6.48444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"0-0",FALSE,NA,4703.77358490566,NA
"Ahmad Harajli","Fastball",11,2024-10-10,15:49:49,3,4,800677,"Right","MIA_RED","Novak, Ryan","10035937","Left","MIA_RED","Undefined",1,"Top",3,0,2,NA,"StrikeSwinging","Strikeout","Undefined","Strikeout",0,0,NA,94.12208,-3.554858,-3.711776,2198.168514,NA,NA,6.10464,2.01867,6.99506,NA,NA,NA,2.71244,0.04619,86.13282,-4.052366,-0.62763,0.395841,73.10617,37.929095,-149.778998,3308.229964,NA,NA,NA,NA,39.75858,NA,NA,-10.05209,16.48434,-1.79592,50,5.88453,8.23495,-136.5807,-8.37731,-19.05747,29.0486,-0.92191,"MIA_RED","MIA_RED","McKieFieldStad","TeamExclusive","Team","20241010-McKieFieldStad-Private-1","cf44bd20-8740-11ef-9b04-d5c8bab22d81",95.22107,27.94801,NA,7.98925,NA,NA,NA,1.61421,2.70357,-0.06882,"524e524e-08eb-445f-adb7-6ade50727fc3",2024-10-10,19:49:49,2024-10-10 19:49:49.1321,2024-10-10 19:49:49.1321,NA,"v3",471355,471355,NA,"Raether, Carson","1000338521","Right","MIA_RED","9f7f262e-c642-47c1-ba39-c002166247ed",53.50563,-137.32427,14.5243,6.09867,-8.35371,-0.46095,-2.01295,8.72278,-9.52873,NA,1.61421,-73.07947,2.0136,2.44013,-1.00254,0.33842,-0.08981,0.01872,-0.00126,2.70357,65.90797,-34.75835,6.13892,-1.4201,0.30435,-0.06397,0.01586,-0.00315,-0.06882,-42.56914,10.14714,-1.85193,0.33947,-0.03912,0.00485,-0.00271,0.00142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low","Low","Low","High","Low",NA,NA,NA,"0-2",FALSE,FALSE,4703.77358490566,NA
"Ahmad Harajli","Fastball",29,2024-09-20,15:16:37,5,4,800677,"Right","MIA_RED","Raether, Carson","1000338521","Left","MIA_RED","Undefined",1,"Bottom",1,2,1,"Four-Seam","StrikeSwinging","Undefined","Undefined","Undefined",0,0,NA,92.38515,-1.120758,-1.982532,2194.590689,212.783529,01:00:00,5.63252,1.63836,6.34976,-19.06395,13.22678,7.83674,3.01148,0.46583,84.11801,-4.747091,-0.564392,0.408988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.63705,7.52851,-1.49786,50,5.5421,4.31632,-134.16775,-3.18993,-8.41504,30.22384,-18.5117,"MIA_RED","MIA_RED","McKieFieldStad","TeamExclusive","Team","20240920-McKieFieldStad-Private-1","dbbc64c0-7784-11ef-974c-1fff098cee3e",92.16029,NA,NA,8.26714,NA,NA,NA,NA,NA,NA,"373d7942-ba83-467c-9c29-7ab426023032",2024-09-20,19:16:37,2024-09-20 19:16:37.22492,2024-09-20 19:16:37.22492,NA,"v3",471355,471355,NA,"Novak, David","1000076952","Right","MIA_RED","f361cef0-a62c-45ac-849b-343f0be84e74",54.14638,-135.09857,15.11192,5.63157,-2.61982,-9.25585,-1.63479,4.57548,-4.20752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"2-1",FALSE,NA,4703.77358490566,NA
