PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-09-30,15:53:38.74,1,1,"Byers, Carson ",1000133996,Left,MIA_RED,"Gonzalez Rivera, Ignacio",10124440,Right,MIA_RED,Undefined,1,Top,0,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.4194,0.504798,3.486983,1590.086797,115.595994,9:45,4.60185,-1.70608,5.47221,-39.42703,8.40445,-14.93032,1.78953,0.31685,71.24334,-6.694215,0.832883,0.49777,112.31162,-40.101883,-89.489987,,,,,3.62514,3.62514,-45.330857,0.018061,8.38721,4.48918,1.41017,50,4.61896,-6.21839,-111.01187,-0.26848,10.66792,16.28531,-26.46416,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20250930-McKieFieldStad-Private-1,28ea77d0-9e37-11f0-9de6-47d7d296bdd3,75.72267,1.91843,,5.17606,,,,2.52824,1.91843,-0.30015,b1eb7843-b7d1-43ed-a01b-9baa5f5799ca,2025-09-30,19:53:38.74,2025-09-30T15:53:38.7450000-04:00,2025-09-30T19:53:38.7450000Z,GroundBall,v3,471355,471355,,,,Undefined,MIA_RED,68cb3a5f-85df-488a-af61-ca08f9fe8fff,55.02897,-111.74718,8.14266,4.6041,0.92642,-13.23208,1.70182,-6.70007,5.33396,,2.52824,1.12274,,,,,,,,1.91876,-106.22005,,,,,,,,-0.29976,-126.12696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
2,2025-09-30,15:54:07.08,1,2,"Byers, Carson ",1000133996,Left,MIA_RED,"Gonzalez Rivera, Ignacio",10124440,Right,MIA_RED,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.10105,0.433852,1.78842,1654.917713,112.47055,9:45,4.54722,-1.87477,5.4641,-39.34242,7.98678,-16.01587,1.67495,-1.53504,71.30359,-6.774555,-1.064278,0.495149,,,,,,,,,,,,8.53158,4.3387,1.72866,50,4.55844,-2.88758,-112.02864,-0.41407,10.94303,18.48035,-26.60902,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20250930-McKieFieldStad-Private-1,39d510a0-9e37-11f0-9de6-47d7d296bdd3,76.12343,,,5.79746,,,,,,,b1eb7843-b7d1-43ed-a01b-9baa5f5799ca,2025-09-30,19:54:07.08,2025-09-30T15:54:07.0870000-04:00,2025-09-30T19:54:07.0870000Z,,v3,471355,471355,,,,Undefined,MIA_RED,93ce3685-4fb0-4293-bef5-edb19dc386ff,55.03512,-112.85617,9.24017,4.5503,0.77747,-13.30451,1.86894,-3.37761,5.47152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-09-30,15:54:29.96,1,3,"Byers, Carson ",1000133996,Left,MIA_RED,"Gonzalez Rivera, Ignacio",10124440,Right,MIA_RED,Undefined,1,Top,0,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.46997,2.571369,0.021439,1843.901507,139.083273,10:45,5.17066,-1.14819,6.07139,-20.25765,16.7769,-13.59166,5.86349,-2.26099,79.01342,-1.276964,-2.424343,0.438001,,,,,,,,,,,,6.96985,8.2741,1.15341,50,5.35884,0.50448,-125.57449,5.06586,11.15996,24.77154,-18.92574,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20250930-McKieFieldStad-Private-1,476b7560-9e37-11f0-9de6-47d7d296bdd3,86.05567,,,7.45655,,,,,,,b1eb7843-b7d1-43ed-a01b-9baa5f5799ca,2025-09-30,19:54:29.96,2025-09-30T15:54:29.9610000-04:00,2025-09-30T19:54:29.9610000Z,,v3,471355,471355,,,,Undefined,MIA_RED,99daf6a3-1838-48a5-a6a6-a57897fabfef,54.42544,-126.44447,12.38577,5.16925,5.73053,-9.46287,1.14257,0.11254,5.57998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-09-30,15:55:01.17,1,4,"Byers, Carson ",1000133996,Left,MIA_RED,"Gonzalez Rivera, Ignacio",10124440,Right,MIA_RED,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.52455,-2.293743,3.239558,2074.367169,146.825281,11:00,5.02957,-1.13132,5.90625,-17.20635,18.8754,-11.67197,1.46207,0.90623,81.02697,-5.536962,1.148283,0.43233,,,,,,,,,,,,6.75351,10.54619,0.87766,50,4.83507,-6.71534,-127.05315,-5.59825,11.19703,22.54451,-14.68884,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20250930-McKieFieldStad-Private-1,5a194200-9e37-11f0-9de6-47d7d296bdd3,87.18445,,,6.49758,,,,,,,b1eb7843-b7d1-43ed-a01b-9baa5f5799ca,2025-09-30,19:55:01.17,2025-09-30T15:55:01.1720000-04:00,2025-09-30T19:55:01.1720000Z,,v3,471355,471355,,,,Undefined,MIA_RED,ce5c5b86-1175-411b-92ae-02b4b43c027c,54.59273,-127.8655,11.27226,5.02725,-5.06897,-7.34442,1.12691,-7.1188,5.59852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-09-30,15:55:31.86,1,5,"Byers, Carson ",1000133996,Left,MIA_RED,"Gonzalez Rivera, Ignacio",10124440,Right,MIA_RED,Undefined,1,Top,0,2,2,Cutter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.35022,-1.178888,1.154867,2412.473921,139.675254,10:45,4.8977,-1.61355,5.45831,-29.90222,9.62749,-7.20768,1.30199,-1.13305,78.03803,-6.665991,-0.129434,0.452515,,,,,,,,,,,,3.92134,5.50654,1.51687,50,4.77332,-2.16973,-122.55466,-3.55668,6.02454,21.91648,-23.7141,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20250930-McKieFieldStad-Private-1,6c6df220-9e37-11f0-9de6-47d7d296bdd3,83.29543,,,6.31219,,,,,,,b1eb7843-b7d1-43ed-a01b-9baa5f5799ca,2025-09-30,19:55:31.86,2025-09-30T15:55:31.8680000-04:00,2025-09-30T19:55:31.8680000Z,,v3,471355,471355,,,,Undefined,MIA_RED,13c5ec21-4d61-4286-ab2d-ab4a0c1f8230,55.03986,-123.45265,10.95824,4.89915,-2.58504,-11.85705,1.61083,-2.41658,3.01227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-09-30,15:55:49.40,1,6,"Byers, Carson ",1000133996,Left,MIA_RED,"Gonzalez Rivera, Ignacio",10124440,Right,MIA_RED,Undefined,1,Top,0,3,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.53106,0.114712,2.740823,1631.665452,120.978237,10:00,4.58862,-1.72147,5.67277,-37.48148,8.99426,-12.74583,1.57223,-0.22643,71.69987,-6.782107,0.464104,0.490664,,,,,,,,,,,,7.23465,4.92229,1.49859,50,4.57442,-4.9279,-112.62726,-0.93177,9.37775,18.70341,-25.79368,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20250930-McKieFieldStad-Private-1,76d86b50-9e37-11f0-9de6-47d7d296bdd3,76.81919,,,5.83119,,,,,,,b1eb7843-b7d1-43ed-a01b-9baa5f5799ca,2025-09-30,19:55:49.40,2025-09-30T15:55:49.4030000-04:00,2025-09-30T19:55:49.4030000Z,,v3,471355,471355,,,,Undefined,MIA_RED,4603ec07-a4f5-4d7d-ab85-9a9050b26b6b,54.82738,-113.42609,9.3517,4.59069,0.16988,-12.89684,1.71761,-5.32842,4.68887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-09-30,15:56:14.92,1,7,"Byers, Carson ",1000133996,Left,MIA_RED,"Gonzalez Rivera, Ignacio",10124440,Right,MIA_RED,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,86.88152,1.208962,2.255803,2031.610844,147.964847,11:00,5.07916,-1.20217,5.65827,-18.66127,18.52973,-10.89981,4.6525,-0.00576,79.51548,-2.319887,0.310577,0.438925,,,,,,,,,,,,6.11414,9.41764,1.01821,50,5.16982,-4.50527,-126.12474,2.10204,9.90015,24.39537,-16.92477,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20250930-McKieFieldStad-Private-1,860af3e0-9e37-11f0-9de6-47d7d296bdd3,85.8744,,,7.36604,,,,,,,b1eb7843-b7d1-43ed-a01b-9baa5f5799ca,2025-09-30,19:56:14.92,2025-09-30T15:56:14.9210000-04:00,2025-09-30T19:56:14.9210000Z,,v3,471355,471355,,,,Undefined,MIA_RED,5f7ea1e4-9a73-4efb-ac64-1dab009dcd40,54.83904,-127.05727,12.19768,5.0771,2.749,-8.46239,1.19766,-4.88371,4.95007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8251,1.537851,0.683213,0.854639,-1.25177,4.53957,-0.00644,-1.40063,5.94301,-2.33353,65.93616,1.19767,-58.8403,-1.3913,82.59441,-4.48008,5.95568,5.3412,-12.78558,-2.38352,-75.46996,11.09126,High,High,High,,,High,High,High
8,2025-09-30,15:56:54.15,2,1,"Byers, Carson ",1000133996,Left,MIA_RED,"Roa Calcano, Christopher",1000375139,Right,MIA_RED,Undefined,1,Top,0,0,0,Cutter,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,83.82334,-0.103437,2.315147,2268.372617,150.688673,11:00,4.83129,-1.49636,5.61826,-26.046,13.45245,-6.97142,2.56418,0.08445,77.93097,-4.916817,1.071535,0.452336,92.79153,3.755011,-14.113334,1452.846603,,,,75.67678,70.10338,-15.083758,0.584125,4.08795,7.18225,1.30348,50,4.80557,-4.6514,-121.87958,-1.06924,6.26181,19.83705,-21.17255,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20250930-McKieFieldStad-Private-1,9d7b51a0-9e37-11f0-9de6-47d7d296bdd3,83.32835,3.35604,,5.89237,,,,1.73398,2.52272,-0.03519,b1eb7843-b7d1-43ed-a01b-9baa5f5799ca,2025-09-30,19:56:54.15,2025-09-30T15:56:54.1530000-04:00,2025-09-30T19:56:54.1530000Z,GroundBall,v3,471355,471355,,,,Undefined,MIA_RED,71dbecc6-d68e-4587-8756-125b502ce613,54.88169,-122.67155,9.91853,4.83138,-0.22396,-10.58628,1.49417,-4.90139,3.13091,39.251773,1.74998,131.33451,-15.8598,,,,,,,2.54709,8.35125,-21.82981,,,,,,,-0.02843,-33.27079,-0.69451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-09-30,15:57:32.10,3,1,"Byers, Carson ",1000133996,Left,MIA_RED,"Christiansen, Hayden",830132,Right,MIA_RED,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.70494,-0.046989,1.273799,2146.249953,136.134229,10:30,4.94038,-1.37752,5.84735,-19.54572,17.59584,-15.80477,3.2679,-1.51072,79.27713,-3.748045,-1.559975,0.438633,,,,,,,,,,,,8.4115,9.35189,1.28317,50,4.92512,-2.14532,-125.97058,-0.68027,13.53275,25.29406,-17.12841,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20250930-McKieFieldStad-Private-1,b400b320-9e37-11f0-9de6-47d7d296bdd3,85.93157,,,7.4278,,,,,,,b1eb7843-b7d1-43ed-a01b-9baa5f5799ca,2025-09-30,19:57:32.10,2025-09-30T15:57:32.1040000-04:00,2025-09-30T19:57:32.1040000Z,,v3,471355,471355,,,,Undefined,MIA_RED,3d22ea7a-c6dc-4e9d-bd23-ae4fb17e0849,54.65024,-126.90088,12.64703,4.93856,-0.0503,-8.5642,1.37122,-2.64305,6.76637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-09-30,15:57:51.99,3,2,"Byers, Carson ",1000133996,Left,MIA_RED,"Christiansen, Hayden",830132,Right,MIA_RED,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.88853,1.11677,4.605306,1789.708114,111.491979,9:45,4.54969,-1.75448,5.60732,-37.52998,8.58095,-18.55769,2.46813,1.00707,72.12873,-5.772455,1.306226,0.488735,,,,,,,,,,,,10.47587,4.48516,1.37221,50,4.62102,-8.39531,-112.94475,1.02239,13.74367,17.55507,-26.28978,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20250930-McKieFieldStad-Private-1,bfe7e140-9e37-11f0-9de6-47d7d296bdd3,77.12245,,,5.7598,,,,,,,b1eb7843-b7d1-43ed-a01b-9baa5f5799ca,2025-09-30,19:57:51.99,2025-09-30T15:57:51.9970000-04:00,2025-09-30T19:57:51.9970000Z,,v3,471355,471355,,,,Undefined,MIA_RED,0479f574-134f-4219-9738-6e6fc72150e5,54.89283,-113.7027,8.77754,4.55238,2.15747,-13.14489,1.74749,-8.9887,6.87184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
