PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
16,2024-09-20,15:10:29,1,1,"Harajli, Ahmad",800677,Right,MIA_RED,"Zarlingo, Anthony",1000113533,Left,MIA_RED,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.11738,-1.381407,-1.461353,2172.892773,221.826703,01:30:00,5.52682,1.71278,6.66848,-18.60977,14.8867,12.34276,2.71149,1.40404,82.13352,-4.951137,0.786982,0.416553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.90685,8.57634,-1.61913,50,5.4265,2.8623,-130.98142000000001,-3.64658,-11.94353,28.85675,-17.34356,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20240920-McKieFieldStad-Private-1,00674110-7784-11ef-974c-1fff098cee3e,90.48643,NA,NA,7.98386,NA,NA,NA,NA,NA,NA,373d7942-ba83-467c-9c29-7ab426023032,2024-09-20,19:10:29,2024-09-20T19:10:29Z,2024-09-20T19:10:29Z,NA,v3,471355,471355,NA,"Novak, David",1000076952,Right,MIA_RED,6fd7906f-1cc6-4029-84ec-83cb3cc65df7,53.82835,-131.82216,14.42838,5.52538,-3.14128,-8.67178,-1.7076,3.21027,-5.97177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
17,2024-09-20,15:10:42,1,2,"Harajli, Ahmad",800677,Right,MIA_RED,"Zarlingo, Anthony",1000113533,Left,MIA_RED,Undefined,1,Bottom,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,92.67754,-2.668374,-3.473008,2219.429492,233.905701,01:45:00,5.51181,1.79336,6.59725,-19.97383,11.9526,14.92457,1.39641,-0.14864,84.42065,-6.464125,-0.762435,0.406674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.85918,7.39288,-1.56174,50,5.32089,7.55923,-134.3901,-6.85057,-16.1104,30.66153,-18.73013,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20240920-McKieFieldStad-Private-1,081b25c0-7784-11ef-974c-1fff098cee3e,92.68461,NA,NA,8.2569,NA,NA,NA,NA,NA,NA,373d7942-ba83-467c-9c29-7ab426023032,2024-09-20,19:10:42,2024-09-20T19:10:42Z,2024-09-20T19:10:42Z,NA,v3,471355,471355,NA,"Novak, David",1000076952,Right,MIA_RED,d9e70670-a14d-4e7f-835e-502ac6bc7e6f,53.90043,-135.27707,15.33076,5.51122,-6.30875,-9.36507,-1.78715,8.02527,-8.0552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
18,2024-09-20,15:10:55,1,3,"Harajli, Ahmad",800677,Right,MIA_RED,"Zarlingo, Anthony",1000113533,Left,MIA_RED,Undefined,1,Bottom,0,1,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,92.13263,-1.576959,-3.489604,2144.415625,233.845255,01:45:00,5.44018,1.79283,6.5838,-21.14316,11.11942,13.7541,2.2301,-0.26278,83.89509,-5.592298,-0.993109,0.408809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.29556,6.62847,-1.55916,50,5.32306,7.61698,-133.7086,-4.30516,-14.93432,30.32447,-20.24091,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20240920-McKieFieldStad-Private-1,100c6190-7784-11ef-974c-1fff098cee3e,92.20051,NA,NA,8.23754,NA,NA,NA,NA,NA,NA,373d7942-ba83-467c-9c29-7ab426023032,2024-09-20,19:10:55,2024-09-20T19:10:55Z,2024-09-20T19:10:55Z,NA,v3,471355,471355,NA,"Novak, David",1000076952,Right,MIA_RED,43cab1be-60b7-4cb6-a26e-c8ea520bb976,53.91482,-134.59354,15.16223,5.44007,-3.71449,-10.12045,-1.7878,8.05279,-7.46716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
19,2024-09-20,15:11:29,2,1,"Harajli, Ahmad",800677,Right,MIA_RED,"Baker, Dillon",1000034148,Right,MIA_RED,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.6361,-1.491766,-1.447463,2236.499634,222.916292,01:30:00,5.44763,1.42483,6.55617,-18.67592,13.09304,11.22973,2.52281,1.03322,84.61549,-5.05148,0.593893,0.40567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.19024,7.5837,-1.32856,50,5.33651,2.92334,-134.59645,-4.03328,-11.34402,29.49356,-18.2764,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20240920-McKieFieldStad-Private-1,2418d3d0-7784-11ef-974c-1fff098cee3e,92.91404,NA,NA,8.02062,NA,NA,NA,NA,NA,NA,373d7942-ba83-467c-9c29-7ab426023032,2024-09-20,19:11:29,2024-09-20T19:11:29Z,2024-09-20T19:11:29Z,NA,v3,471355,471355,NA,"Novak, David",1000076952,Right,MIA_RED,8a7434b7-b3b0-4711-967f-1a95988313f6,53.93815,-135.45665,14.74678,5.44637,-3.50024,-9.1382,-1.41864,3.2542,-5.67201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
21,2024-09-20,15:12:04,2,3,"Harajli, Ahmad",800677,Right,MIA_RED,"Baker, Dillon",1000034148,Right,MIA_RED,Undefined,1,Bottom,1,0,2,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,93.20487,0.236878,-0.558135,2165.10278,211.986826,01:00:00,5.55557,1.3526,6.50724,-15.65603,16.34107,9.4617,4.46831,1.62885,83.42962,-2.819582,1.159787,0.407124,55.0229,34.815151,178.363857,3947.144457,NA,NA,NA,NA,43.44878,NA,NA,-5.11882,8.80193,-1.31728,50,5.56508,0.92047,-135.28419,0.16343,-9.28128,35.46365,-16.21464,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20240920-McKieFieldStad-Private-1,395fe8f0-7784-11ef-974c-1fff098cee3e,92.58222,25.13399,NA,9.77525,NA,NA,NA,-0.02699,4.47919,-1.67003,373d7942-ba83-467c-9c29-7ab426023032,2024-09-20,19:12:04,2024-09-20T19:12:04Z,2024-09-20T19:12:04Z,NA,v3,471355,471355,NA,"Novak, David",1000076952,Right,MIA_RED,888f4a09-1b34-436c-9d08-28d28205c92c,53.9869,-136.32532,17.73183,5.5533,0.63945,-8.10732,-1.3483,1.19294,-4.64064,336.953038,-0.02699,-66.22765,3.24703,0.62994000000000006,-0.20785,0.07309,-0.00767,-0.0026,0.00129,4.47919,46.07417,-24.67635,2.64313,-0.5388,0.10358,-0.0243,0.01309,-0.00393,-1.67003,1.89172,-2.78516,0.16695,-0.01308,-0.00976,-0.00138,0.0029,-0.00101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
22,2024-09-20,15:12:46,3,1,"Harajli, Ahmad",800677,Right,MIA_RED,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Bottom,1,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,87.5872,-0.815714,-2.008488,2075.902397,231.336718,01:45:00,5.6373,1.55596,6.22449,-21.17816,15.18694,17.37851,3.11932,1.15026,79.16372,-4.854822,1.129485,0.434024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.63079,8.50032,-1.41413,50,5.56579,3.7594,-127.11975,-2.41192,-15.55621,29.19104,-18.44384,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20240920-McKieFieldStad-Private-1,5283c310-7784-11ef-974c-1fff098cee3e,86.84411,NA,NA,8.42349,NA,NA,NA,NA,NA,NA,373d7942-ba83-467c-9c29-7ab426023032,2024-09-20,19:12:46,2024-09-20T19:12:46Z,2024-09-20T19:12:46Z,NA,v3,471355,471355,NA,"Novak, David",1000076952,Right,MIA_RED,62e60481-a123-425c-8a66-ffb82f3e5e43,54.27214,-128.09703,14.59552,5.6362,-1.79445,-9.22192,-1.54871,4.2802,-7.77811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
24,2024-09-20,15:14:34,4,1,"Harajli, Ahmad",800677,Right,MIA_RED,"Harrison, Tommy",811731,Left,MIA_RED,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.21778,-2.336486,-1.950646,2248.057466,226.478468,01:30:00,5.49268,1.63236,6.57866,-16.05694,16.39548,16.03351,2.01084,1.18008,83.26123,-5.445717,0.964339,0.41001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.99847,9.68705,-1.50444,50,5.32532,3.90196,-133.79967,-5.86812,-16.07472,32.79418,-14.86925,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20240920-McKieFieldStad-Private-1,924d1b90-7784-11ef-974c-1fff098cee3e,91.93045,NA,NA,8.95656,NA,NA,NA,NA,NA,NA,373d7942-ba83-467c-9c29-7ab426023032,2024-09-20,19:14:34,2024-09-20T19:14:34Z,2024-09-20T19:14:34Z,NA,v3,471355,471355,NA,"Novak, David",1000076952,Right,MIA_RED,e393c3e4-7daf-407c-af93-7abd17851144,53.9172,-134.75635,16.39709,5.49018,-5.43435,-7.43463,-1.62511,4.37089,-8.03736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
25,2024-09-20,15:14:45,4,2,"Harajli, Ahmad",800677,Right,MIA_RED,"Harrison, Tommy",811731,Left,MIA_RED,Undefined,1,Bottom,1,1,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,NA,91.69693,-2.328531,-2.401601,2258.187129,226.282563,01:30:00,5.44999,1.5309,6.53296,-19.74068,13.19363,12.54784,1.66598,0.37233,82.77386,-6.103275,-0.122765,0.413044,96.51417,-6.162166,8.135498,NA,NA,NA,NA,16.32469,16.32469,5.537963,0.097241,-7.39615,8.03048,-1.3694,50,5.27979,5.08135,-133.00126,-5.96933,-13.03256,32.85678,-18.02375,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20240920-McKieFieldStad-Private-1,99840810-7784-11ef-974c-1fff098cee3e,91.25537,1.66345,NA,8.92307,NA,NA,NA,2.89392,1.66345,-0.37119,373d7942-ba83-467c-9c29-7ab426023032,2024-09-20,19:14:45,2024-09-20T19:14:45Z,2024-09-20T19:14:45Z,GroundBall,v3,471355,471355,NA,"Novak, David",1000076952,Right,MIA_RED,3bca828e-b93f-4911-b060-ee7f5e3b9960,53.96416,-133.97699,16.42839,5.44911,-5.43409,-9.01188,-1.52605,5.46837,-6.51628,326.306358,2.89405,139.30286,-20.26011,NA,NA,NA,NA,NA,NA,1.66356,-15.20972,-19.52958,NA,NA,NA,NA,NA,NA,-0.37122,19.91953,1.02318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
26,2024-09-20,15:15:28,5,1,"Harajli, Ahmad",800677,Right,MIA_RED,"Raether, Carson",1000338521,Left,MIA_RED,Undefined,1,Bottom,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.22042,-1.120373,-1.524244,2211.04227,238.139951,02:00:00,5.60833,1.77798,6.45729,-21.45789,11.00249,15.89461,2.79051,1.70203,83.52023,-5.198247,1.360083,0.410061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.73745,6.43528,-1.67655,50,5.51957,2.90427,-133.92791,-3.2633,-15.68497,32.06562,-20.62182,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20240920-McKieFieldStad-Private-1,b3032190-7784-11ef-974c-1fff098cee3e,91.91917,NA,NA,8.70019,NA,NA,NA,NA,NA,NA,373d7942-ba83-467c-9c29-7ab426023032,2024-09-20,19:15:28,2024-09-20T19:15:28Z,2024-09-20T19:15:28Z,NA,v3,471355,471355,NA,"Novak, David",1000076952,Right,MIA_RED,09aca1f3-42ec-40c1-90e4-a1751cc3cffc,54.03895,-134.89147,16.03281,5.60832,-2.64363,-10.31091,-1.7709,3.37559,-7.84249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
29,2024-09-20,15:16:37,5,4,"Harajli, Ahmad",800677,Right,MIA_RED,"Raether, Carson",1000338521,Left,MIA_RED,Undefined,1,Bottom,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,92.38515,-1.120758,-1.982532,2194.590689,212.783529,01:00:00,5.63252,1.63836,6.34976,-19.06395,13.22678,7.83674,3.01148,0.46583,84.11801,-4.747091,-0.564392,0.408988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.63705,7.52851,-1.49786,50,5.5421,4.31632,-134.16775,-3.18993,-8.41504,30.22384,-18.5117,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20240920-McKieFieldStad-Private-1,dbbc64c0-7784-11ef-974c-1fff098cee3e,92.16029,NA,NA,8.26714,NA,NA,NA,NA,NA,NA,373d7942-ba83-467c-9c29-7ab426023032,2024-09-20,19:16:37,2024-09-20T19:16:37Z,2024-09-20T19:16:37Z,NA,v3,471355,471355,NA,"Novak, David",1000076952,Right,MIA_RED,f361cef0-a62c-45ac-849b-343f0be84e74,54.14638,-135.09857,15.11192,5.63157,-2.61982,-9.25585,-1.63479,4.57548,-4.20752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
