pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,pitcher_break_z_induced,pitcher_break_x
701,681911,"Vesia, Alex",1109,63.2,0.149,0.206,0.163,0.355,0.286,0.307,0.164,21,141,88.9,35.3,2399,93.4,93.45,104,367,334,0.1,6.39,112,151,123,150,295,313,292,8.1,-8.1,70.2,6.9,171,94,7,6,1,7,49,28.7,26,15.2,0.93087,1.69047,0.51856,-0.09779,90.8,197,40.42553191489361,17.02127659574468,9.356725146,5.85,0.53,0.17,3.15,0.284,16,-1.14935806,0.297,0.4,1.14935806,-0.015,-0.013,-0.045,-0.021,28.3,60.4,20.3,6.2
224,664299,"Javier, Cristian",570,39.3,0.256,0.279,0.31,0.535,0.402,0.377,0.211,11,43,92.4,32,2301,91.7,90.75,27,100,124,-0.9,6,110,150,117,149,291,320,291,-0.8,0.8,69.7,6.9,56,31,4,4,1,2,13,23.2,12,21.4,1.07612,1.66433,0.48107,0.05857,91.4,215,48.38709677419355,16.129032258064516,8.928571428571429,5.78,1.41,0.07,3.23,0.411,5,0.348660714,0.381,0.471,-0.348660714,0.045,0.03,0.064,0.025,27,38,20,5.8
1160,601713,"Pivetta, Nick",2387,48.6,0.239,0.16,0.311,0.399,0.303,0.307,0.231,64,268,91.7,19.6,2311,93.9,94.74,131,600,560,0.7999999999999972,6.83,113,149,120,149,286,322,300,7.3,-7.3,69.3,6.7,292,188,40,13,3,8,81,27.7,23,7.9,0.93118,1.6596,0.33763,-0.03468,91.3,188,46.808510638297875,9.042553191489365,5.821917808219178,6.84,1.45,-0.11,3.01,0.298,17,-0.633103448,0.292,0.414,0.633103448,0.008,0.006,-0.015,-0.004,21.8,57.2,19.9,4
431,673513,"Matsui, Yuki",1049,41.1,0.223,0.223,0.222,0.447,0.336,0.327,0.234,21,94,91.4,27.5,2439,92.2,91.36,45,236,195,-0.8,5.95,111,150,117,150,296,323,297,2.8,-2.8,69.4,7,112,77,11,4,1,5,19,17,16,14.3,1.04784,1.65165,0.35542,-0.10807,91.2,185,40.25974025974026,7.792207792207792,5.357142857142857,6.01,2.01,0.11,2.88,0.33,6,-0.641299304,0.34,0.405,0.641299304,-0.011,-0.01,0.042,0.009,19.1,57.6,19.8,4.3
683,663474,"McKenzie, Triston",1304,52.4,0.303,0.348,0.263,0.652,0.46,0.464,0.307,47,155,92.4,20.6,2229,91.1,92.02,30,292,391,0.9000000000000057,6.83,111,149,122,149,296,318,298,-15.9,15.9,70.6,7.1,198,134,25,6,0,16,22,11.1,40,20.2,1.10318,1.64362,0.13468,-0.014,92.6,200,48.507462686567166,17.16417910447761,11.616161616161616,6.48,1.64,0.04,2.56,0.447,23,2.322693997,0.45,0.659,-2.322693997,-0.004,-0.003,-0.007,-0.004,10.3,55.3,19.7,1.6
549,670950,"Richards, Trevor",1182,46.4,0.234,0.108,0.28,0.342,0.335,0.375,0.251,26,111,92.5,22.3,2249,92.3,92.26,39,263,286,0,6.36,109,147,115,146,291,321,294,-0.5,0.5,68.4,6.7,143,86,20,3,0,3,28,19.6,28,19.6,1.04233,1.6431,0.60107,0.0959,91.5,204,52.32558139534884,9.302325581,5.594405594405594,6.29,2.13,0.05,2.81,0.387,8,0.083970856,0.406,0.429,-0.083970856,-0.017,-0.019,-0.087,-0.04,14.8,55.3,19.7,7.2
1154,542881,"Anderson, Tyler",2914,39.6,0.272,0.222,0.292,0.494,0.365,0.367,0.272,70,257,90.8,23.1,2196,89.4,88.97,100,547,607,-0.4,6.11,108,151,115,149,306,326,298,-12.1,12.1,70.9,6.9,289,213,38,18,3,11,44,15.2,30,10.4,1.22102,1.64161,0.34462,-0.22377,91.7,195,42.25352112676056,10.328638497652582,7.612456747404845,6.42,1.31,0.03,2.9,0.353,22,1.052686308,0.353,0.498,-1.052686308,0,0,-0.004,-0.002,18.3,58.1,19.7,4.1
952,676710,"Crawford, Kutter",2823,33.7,0.255,0.245,0.291,0.5,0.347,0.336,0.24,56,220,92.7,25.3,2504,92.6,92.01,97,489,463,-0.6,6.1,114,150,118,149,288,322,300,-3.9,3.9,70.1,6.8,244,161,28,15,0,13,62,25.4,19,7.8,1.03514,1.64039,0.63206,-0.05288,91.6,205,50.931677018633536,12.422360248447204,8.196721311,6.05,1.14,0.03,2.95,0.316,20,0.408193277,0.305,0.48,-0.408193277,0.015,0.011,0.02,0.011,19.8,47.7,19.7,7.6
567,669093,"Estrada, Jeremiah",1003,56.5,0.191,0.113,0.26,0.304,0.26,0.273,0.197,22,115,90.9,23,2224,97.2,97.86,105,322,245,0.7000000000000028,6.75,114,149,118,149,298,325,298,5.7,-5.7,69.6,6.7,132,76,15,4,0,3,41,31.1,14,10.6,0.796,1.62601,0.12293,-0.01363,91.2,196,39.473684210526315,6.578947368421052,3.787878787878788,5.92,0.5,0.06,2.97,0.275,5,-1.003527337,0.284,0.311,1.003527337,-0.006,-0.009,-0.007,-0.013,32.6,67.3,19.5,1.5
1088,686752,"Pepiot, Ryan",2149,50.6,0.181,0.149,0.228,0.33,0.289,0.291,0.172,40,221,91.6,27,2379,94.9,95.47,157,497,591,0.5999999999999943,6.79,106,148,116,149,297,330,301,10.4,-10.4,70.2,6.8,262,145,25,6,0,9,77,29.4,36,13.7,0.93028,1.61722,0.73479,-0.13475,91.5,198,43.44827586206896,12.413793103448276,6.870229007633588,5.95,1,-0.12,2.85,0.305,18,-0.951378676,0.297,0.347,0.951378676,0.009,0.008,-0.017,-0.002,31.6,43.6,19.4,8.8
