Home to 1B,Home to 2B,Home to 3rd,1st to 3rd,1st to Home,2nd to Home,2nd to 3rd (Tag Up),3rd to Home (Tag Up)
4.46,8.2,11.73,7.76,11.6,7.48,3.78,4.31
3.78,8.79,11.47,7.54,11.9,7.73,3.86,3.78
3.76,7.96,12.07,7.92,10.2,7.95,3.88,4.45
4.16,7.01,11.46,7.63,10.4,6.81,4.1,3.68
4.56,8.4,12.68,7.33,12.6,6.43,4.4,4.25
4.45,,12.05,,10.74,6.26,3.7,3.90
4.38,,,,10.97,6.55,3.98,
4.51,,,,11.51,7.53,,
4.56,,,,,6.18,,
4.11,,,,,6.75,,
4.41,,,,,6.9,,
4.06,,,,,,,
4.63,,,,,,,
4.34,,,,,,,
4.19,,,,,,,
4.39,,,,,,,
4.08,,,,,,,
4.66,,,,,,,
4.60,,,,,,,
3.96,,,,,,,
4.08,,,,,,,
4.56,,,,,,,
4.11,,,,,,,
4.65,,,,,,,
4.65,,,,,,,
4.51,,,,,,,
4.79,,,,,,,
4.21,,,,,,,
4.78,,,,,,,
4.23,,,,,,,
4.08,,,,,,,
3.96,,,,,,,
3.93,,,,,,,
4.38,,,,,,,
4.03,,,,,,,
4.48,,,,,,,
4.08,,,,,,,
4.13,,,,,,,
4.06,,,,,,,
4.11,,,,,,,
3.94,,,,,,,
4.28,,,,,,,
4.38,,,,,,,
4.06,,,,,,,
4.03,,,,,,,
4.26,,,,,,,
3.61,,,,,,,
4.53,,,,,,,
3.80,,,,,,,
4.68,,,,,,,
4.33,,,,,,,
3.92,,,,,,,
3.96,,,,,,,
4.61,,,,,,,
4.16,,,,,,,
4.23,,,,,,,
3.73,,,,,,,
4.16,,,,,,,
4.26,,,,,,,
3.61,,,,,,,
4.66,,,,,,,
4.38,,,,,,,
4.13,,,,,,,
4.11,,,,,,,
4.65,,,,,,,
3.58,,,,,,,
3.86,,,,,,,
3.91,,,,,,,
3.80,,,,,,,
3.91,,,,,,,
3.70,,,,,,,
4.16,,,,,,,
4.60,,,,,,,
3.71,,,,,,,
4.45,,,,,,,
4.53,,,,,,,
4.73,,,,,,,
4.34,,,,,,,
4.66,,,,,,,
3.9,,,,,,,
4.21,,,,,,,
4.34,,,,,,,
4.25,,,,,,,
4.26,,,,,,,
4.58,,,,,,,
